Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
168.63.129.16-10.0.0.15-32526-42260-6,10.0.0.15,42260,168.63.129.16,32526,6,19/04/2025 01:34:08 PM,90,0,2,0,0,0,0,0,0,0,0,0,0,0,22222.22222,90,0,90,90,0,0,0,0,0,90,90,0,90,90,0,0,0,0,0,64,0,22222.22222,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,16384,0,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-53-44505-17,10.0.0.15,44505,168.63.129.16,53,17,19/04/2025 01:40:14 PM,3913,0,2,0,163,0,0,0,0,110,53,81.5,40.30508653,41656.0184,511.1167902,3913,0,3913,3913,0,0,0,0,0,3913,3913,0,3913,3913,0,0,0,0,0,16,0,511.1167902,53,110,72,32.90896534,1083,0,0,0,0,0,0,0,0,0,108,0,81.5,0,0,0,0,0,0,0,0,2,163,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-32526-34998-6,10.0.0.15,34998,168.63.129.16,32526,6,19/04/2025 01:45:47 PM,66,0,2,0,0,0,0,0,0,0,0,0,0,0,30303.0303,66,0,66,66,0,0,0,0,0,66,66,0,66,66,0,0,0,0,0,64,0,30303.0303,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,16388,0,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-32526-50956-6,10.0.0.15,50956,168.63.129.16,32526,6,19/04/2025 01:54:13 PM,113,0,2,0,0,0,0,0,0,0,0,0,0,0,17699.11504,113,0,113,113,0,0,0,0,0,113,113,0,113,113,0,0,0,0,0,64,0,17699.11504,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,16386,0,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-32526-54032-6,10.0.0.15,54032,168.63.129.16,32526,6,19/04/2025 01:47:35 PM,91,0,2,0,0,0,0,0,0,0,0,0,0,0,21978.02198,91,0,91,91,0,0,0,0,0,91,91,0,91,91,0,0,0,0,0,64,0,21978.02198,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,16388,0,0,0,0,0,0,0,0,0,0,No Label
10.0.0.15-10.0.0.37-443-35446-6,10.0.0.37,35446,10.0.0.15,443,6,19/04/2025 01:36:33 PM,159090,5,5,524,1948,517,0,104.8,230.4467401,1948,0,389.6,871.172084,15538.3745,62.85750204,17676.66667,45471.82029,138182,0,158611,39652.75,66327.86198,138666,0,154641,38660.25,66758.12518,138182,32,0,0,0,0,160,176,31.42875102,31.42875102,0,1948,224.7272727,592.1584401,350651.6182,0,1,0,0,0,0,0,0,1,247.2,104.8,389.6,0,0,0,0,0,0,5,524,5,1948,-1,506,2,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-64949-80-6,10.0.0.15,80,168.63.129.16,64949,6,19/04/2025 01:32:14 PM,305,0,2,0,0,0,0,0,0,0,0,0,0,0,6557.377049,305,0,305,305,0,0,0,0,0,305,305,0,305,305,0,0,0,0,0,40,0,6557.377049,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,16385,0,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-56812-80-6,10.0.0.15,80,168.63.129.16,56812,6,19/04/2025 01:39:59 PM,131,0,2,0,0,0,0,0,0,0,0,0,0,0,15267.17557,131,0,131,131,0,0,0,0,0,131,131,0,131,131,0,0,0,0,0,40,0,15267.17557,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,16385,0,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-32526-57486-6,10.0.0.15,57486,168.63.129.16,32526,6,19/04/2025 01:46:17 PM,111,0,2,0,0,0,0,0,0,0,0,0,0,0,18018.01802,111,0,111,111,0,0,0,0,0,111,111,0,111,111,0,0,0,0,0,64,0,18018.01802,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,16386,0,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-80-47614-6,10.0.0.15,47614,168.63.129.16,80,6,19/04/2025 01:49:04 PM,2156,2,3,200,2339,200,0,100,141.4213562,2339,0,779.6666667,1350.42228,1177643.785,2319.109462,539,784.6668083,1685,29,32,32,0,32,32,2156,1078,944.6946597,1746,410,0,0,0,0,64,112,927.6437848,1391.465677,0,2339,423.1666667,941.9661176,887300.1667,0,1,0,0,0,0,0,0,1,507.8,100,779.6666667,0,0,0,0,0,0,2,200,3,2339,-1,16387,1,0,0,0,0,0,0,0,0,0,No Label
