Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
168.63.129.16-10.0.0.15-32526-49100-6,10.0.0.15,49100,168.63.129.16,32526,6,23/04/2025 10:48:36 AM,6556,2,3,447,145,447,0,223.5,316.0767312,145,0,48.33333333,83.71578903,90298.96278,762.6601586,1639,1867.6147,3516,25,41,41,0,41,41,6556,3278,429.920923,3582,2974,0,0,0,0,64,112,305.0640635,457.5960952,0,447,98.66666667,180.2350317,32484.66667,0,1,0,0,0,0,0,0,1,118.4,223.5,48.33333333,0,0,0,0,0,0,2,447,3,145,-1,16386,1,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-32526-49112-6,10.0.0.15,49112,168.63.129.16,32526,6,23/04/2025 10:48:36 AM,1013,3,4,980,154,585,0,326.6666667,298.4264287,154,0,38.5,77,1119447.187,6910.167818,168.8333333,242.9744157,632,11,33,16.5,7.778174593,22,11,1013,337.6666667,259.4731842,632,142,0,0,0,0,96,144,2961.500494,3948.667325,0,585,141.75,227.1630943,51603.07143,0,1,0,0,0,0,0,0,1,162,326.6666667,38.5,0,0,0,0,0,0,3,980,4,154,-1,16384,2,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-32526-49118-6,10.0.0.15,49118,168.63.129.16,32526,6,23/04/2025 10:48:36 AM,2196,3,4,3050,154,2654,0,1016.666667,1431.72949,154,0,38.5,77,1459016.393,3187.613843,366,440.9126898,1089,12,33,16.5,6.363961031,21,12,2196,732,322.4267359,1089,462,0,0,0,0,96,144,1366.120219,1821.493625,0,2654,400.5,921.2604719,848720.8571,0,1,0,0,0,0,0,0,1,457.7142857,1016.666667,38.5,0,0,0,0,0,0,3,3050,4,154,-1,16388,2,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-80-57624-6,10.0.0.15,57624,168.63.129.16,80,6,23/04/2025 10:48:42 AM,2615,2,3,200,2339,200,0,100,141.4213562,2339,0,779.6666667,1350.42228,970936.9025,1912.045889,653.75,990.9421022,2113,31,31,31,0,31,31,2615,1307.5,1235.315547,2181,434,0,0,0,0,64,112,764.8183556,1147.227533,0,2339,423.1666667,941.9661176,887300.1667,0,1,0,0,0,0,0,0,1,507.8,100,779.6666667,0,0,0,0,0,0,2,200,3,2339,-1,16387,1,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-80-57624-6,10.0.0.15,57624,168.63.129.16,80,6,23/04/2025 10:48:42 AM,295,1,1,0,0,0,0,0,0,0,0,0,0,0,6779.661017,295,0,295,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,3389.830508,3389.830508,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-32526-38328-6,10.0.0.15,38328,168.63.129.16,32526,6,23/04/2025 10:48:42 AM,5748,2,3,447,145,447,0,223.5,316.0767312,145,0,48.33333333,83.71578903,102992.3452,869.8677801,1437,2640.701043,5392,13,18,18,0,18,18,5748,2874,3604.83037,5423,325,0,0,0,0,64,112,347.947112,521.9206681,0,447,98.66666667,180.2350317,32484.66667,0,1,0,0,0,0,0,0,1,118.4,223.5,48.33333333,0,0,0,0,0,0,2,447,3,145,-1,16386,1,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-32526-38340-6,10.0.0.15,38340,168.63.129.16,32526,6,23/04/2025 10:48:42 AM,1178,3,4,980,154,585,0,326.6666667,298.4264287,154,0,38.5,77,962648.5569,5942.275042,196.3333333,305.5235943,795,12,35,17.5,7.778174593,23,12,1178,392.6666667,351.6537122,795,144,0,0,0,0,96,144,2546.689304,3395.585739,0,585,141.75,227.1630943,51603.07143,0,1,0,0,0,0,0,0,1,162,326.6666667,38.5,0,0,0,0,0,0,3,980,4,154,-1,16384,2,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-32526-38348-6,10.0.0.15,38348,168.63.129.16,32526,6,23/04/2025 10:48:42 AM,1514,3,4,3050,154,2654,0,1016.666667,1431.72949,154,0,38.5,77,2116248.349,4623.513871,252.3333333,351.6183537,912,10,28,14,5.656854249,18,10,1514,504.6666667,356.5730407,912,249,0,0,0,0,96,144,1981.505945,2642.007926,0,2654,400.5,921.2604719,848720.8571,0,1,0,0,0,0,0,0,1,457.7142857,1016.666667,38.5,0,0,0,0,0,0,3,3050,4,154,-1,16388,2,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-54722-80-6,168.63.129.16,54722,10.0.0.15,80,6,23/04/2025 10:48:27 AM,15003996,2,2,0,0,0,0,0,0,0,0,0,0,0,0.266595646,5001332,8662296.992,1.50E+07,46,1.50E+07,1.50E+07,0,1.50E+07,1.50E+07,46,46,0,46,46,0,0,0,0,40,64,0.133297823,0.133297823,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,2,0,-1,64240,0,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-80-57634-6,10.0.0.15,57634,168.63.129.16,80,6,23/04/2025 10:48:48 AM,2540,2,3,200,2339,200,0,100,141.4213562,2339,0,779.6666667,1350.42228,999606.2992,1968.503937,635,871.9774462,1875,23,28,28,0,28,28,2540,1270,927.7240969,1926,614,0,0,0,0,64,112,787.4015748,1181.102362,0,2339,423.1666667,941.9661176,887300.1667,0,1,0,0,0,0,0,0,1,507.8,100,779.6666667,0,0,0,0,0,0,2,200,3,2339,-1,16387,1,0,0,0,0,0,0,0,0,0,No Label
